,Paths,Accumulated Latency,Accumulated Noise,Accumulated SNR
33,A->B->D->C->E,0.05613442512492061,1.1226885024984126e-05,44.894439284963745
34,A->B->D->E,0.02450966721852591,4.901933443705184e-06,53.18125571343913
35,A->B->D->F->E,0.0550647507619031,1.1012950152380623e-05,45.086834120621276
36,A->B->F->D->C->E,0.11653161822666647,2.3306323645333295e-05,37.59030554145829
37,A->B->F->D->E,0.054708263769398836,1.0941652753879768e-05,45.151784190040296
38,A->B->F->E,0.024191122512698265,4.838224502539654e-06,53.312074638734856
39,A->C->D->B->F->E,0.10547643618908288,2.1095287237816577e-05,38.58705617105241
40,A->C->D->E,0.024563969106215437,4.9127938212430884e-06,53.159124926352916
41,A->C->D->F->E,0.05517335453728215,1.1034670907456433e-05,45.067130623319656
42,A->C->E,0.013316650231359597,2.66333004627192e-06,59.28178042063593
43,A->D->B->F->E,0.04616893356191533,9.233786712383067e-06,46.848860532382794
44,A->D->C->E,0.026589277586715886,5.317855517343179e-06,52.36685155138284
45,A->D->E,0.009737093449423551,1.9474186898847104e-06,62.4125053211294
46,A->D->F->E,0.02551960322369838,5.103920644739677e-06,52.77746280721236
47,A->B->D->C->E->F,0.1189396822819044,2.3787936456380886e-05,37.38576698388167
48,A->B->D->E->F,0.05569016646911499,1.1138033293823001e-05,44.973896046089465
49,A->B->D->F,0.026630987562085554,5.326197512417112e-06,52.35117707708521
50,A->B->F,0.011194173437483135,2.2388346874966275e-06,61.017997772772866
51,A->C->D->B->F,0.05183683027567544,1.036736605513509e-05,45.69092285615156
52,A->C->D->E->F,0.05579877024449404,1.115975404889881e-05,44.954413609009656
53,A->C->D->F,0.02668528944977508,5.337057889955017e-06,52.330807347798405
54,A->C->E->D->B->F,0.12871628081296846,2.5743256162593698e-05,36.59582582771598
55,A->C->E->D->F,0.06512501471842158,1.302500294368432e-05,43.40884465340097
56,A->C->E->F,0.03330413249478236,6.660826498956474e-06,50.115117031870625
57,A->D->B->F,0.02218307896209167,4.436615792418334e-06,54.17863402081697
58,A->D->C->E->F,0.05984938720549494,1.1969877441098991e-05,44.25361998303521
59,A->D->E->F,0.026145018930910268,5.229003786182055e-06,52.53534499702576
60,A->D->F,0.011858413792983193,2.371682758596639e-06,60.44155551059079
61,B->A,0.00790569415042095,1.58113883008419e-06,64.49609913045059
62,B->D->A,0.013195958719541153,2.6391917439082314e-06,59.372825663102404
63,B->D->C->A,0.02373041558204721,4.746083116409443e-06,53.50435608182715
64,B->D->E->C->A,0.05066703831512795,1.0133407663025595e-05,45.91917624097974
65,B->D->F->E->C->A,0.11631882999371292,2.326376599874259e-05,37.60858236195087
66,B->F->D->A,0.02925241964668313,5.850483929336628e-06,51.41230898196201
67,B->F->D->C->A,0.055843337436331165,1.1168667487266237e-05,44.94642966905539
68,B->F->D->E->C->A,0.11489288202369585,2.2978576404739174e-05,37.731929577955576
69,B->F->E->C->A,0.04939285949181736,9.878571898363475e-06,46.173873223700056
70,B->F->E->C->D->A,0.10778429134270015,2.1556858268540034e-05,38.37061263942702
71,B->F->E->D->A,0.052761468130039,1.0552293626007804e-05,45.51412037380374
72,B->F->E->D->C->A,0.10286143440304292,2.0572286880608586e-05,38.83810405968928
73,B->A->C,0.019619274853773853,3.923854970754771e-06,55.406806975046585
74,B->A->D->C,0.04206697683229389,8.41339536645878e-06,47.779301568120104
75,B->A->D->E->C,0.08652762665514666,1.7305525331029333e-05,40.56729445173899
76,B->A->D->F->E->C,0.18133819940706392,3.6267639881412786e-05,33.168293986230296
77,B->D->A->C,0.03019980399201426,6.039960798402854e-06,51.09357757387129
78,B->D->C,0.011074638375981511,2.2149276751963027e-06,61.12535528299715
79,B->D->E->C,0.02454294974252188,4.908589948504378e-06,53.16768557950322
80,B->D->F->E->C,0.05736884558181436,1.1473769116362876e-05,44.676917953368935
81,B->F->D->A->C,0.06231272584629821,1.2462545169259646e-05,43.85027519286734
