Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
E->A->C->B->F->D,0.009449675466181862,1.074692e-05,12.083279775174669
E->A->F->D,0.008409521278867177,7.036113e-06,15.506895211398389
E->A->B->F->D,0.008603673513182667,8.698745e-06,20.136323830956666
E->F->D,0.004424378941078262,5.050562e-06,23.524327296204778
E->B->A->F->D,0.010920972295935721,1.043475e-05,20.320735707522857
E->B->C->A->F->D,0.011766974248934914,1.048662e-05,14.383306856364154
E->B->F->D,0.0054371588707566075,5.319922e-06,15.746505039376995
E->C->B->A->F->D,0.011735999986894497,9.218937e-06,15.818523611107498
E->C->B->F->D,0.006252186561715384,5.664699e-06,20.51401231992625
E->C->A->F->D,0.008418868535245216,7.452821e-06,20.906677846766883
E->C->A->B->F->D,0.008613020769560708,7.831824e-06,14.94259939153534
E->D,0.003432803880357863,2.215805e-06,18.587921419937818
E->A->C->B->F,0.007699938331495626,9.416368e-06,20.870603579818678
E->A->F,0.006659784144180941,5.691752e-06,21.47287503397546
E->A->B->F,0.006853936378496432,6.414757e-06,15.402865326415363
E->F,0.002674641806392026,1.774885e-06,19.95613098857381
E->B->A->F,0.009171235161249486,7.228166e-06,13.909721017967216
E->B->C->A->F,0.010017237114248678,9.131389e-06,18.81052802702963
E->B->F,0.0036874217360703715,3.985733e-06,23.99491815839559
E->C->B->A->F,0.009986262852208262,7.837424e-06,18.598492157902644
E->C->B->F,0.0045024494270291485,3.996817e-06,18.942633727402708
E->C->A->F,0.00666913140055898,5.100861e-06,16.29923840722396
E->C->A->B->F,0.006863283634874472,6.488835e-06,21.002661492317838
E->D->F,0.0051825410150440985,6.120927e-06,23.094148698370272
F->A,0.004391742645607778,2.656827e-06,17.482540602838487
F->B->A,0.00458589487992327,4.564537e-06,22.632204102747032
F->B->E->A,0.005955463234643535,5.540228e-06,15.265562360864974
F->B->E->C->A,0.005964810491021573,6.409311e-06,20.28238633268201
F->B->C->E->A,0.0067704909256023115,6.726501e-06,19.463169564493143
F->B->C->A,0.005431896832922462,5.506116e-06,15.901823487544588
F->D->E->A,0.007450582513617261,6.333980e-06,15.646392574919776
F->D->E->B->A,0.009962033530685806,8.739757e-06,18.848856474505144
F->D->E->B->C->A,0.010808035483684999,9.671283e-06,14.417756458778289
F->D->E->C->B->A,0.010777061221644582,9.273854e-06,15.475666171354003
F->D->E->C->A,0.007459929769995301,6.999490e-06,18.937515295883593
F->E->A,0.004942683304965188,5.216938e-06,23.07884885394281
F->E->B->A,0.007454134322033732,7.042716e-06,13.196602643913327
F->E->B->C->A,0.008300136275032925,1.033479e-05,20.719428389138805
F->E->C->B->A,0.00826916201299251,1.546747e-05,19.84392112108101
F->E->C->A,0.0049520305613432285,6.202686e-06,12.872534823874755
F->A->C->B,0.008076727428354273,8.742505e-06,12.005095445095845
F->A->C->E->B,0.008609641086453384,1.021328e-05,19.538232354113635
F->A->B,0.00723072547535508,7.654999e-06,21.666104228106136
F->A->E->B,0.008600293830075345,8.654384e-06,12.658530562943541
F->A->E->C->B,0.009415321521034123,1.034815e-05,18.87181830650632
F->B,0.0017469120501759669,1.334189e-06,21.753383674000887
F->D->E->A->C->B,0.011135567296363757,1.006113e-05,13.331971366880024
F->D->E->A->B,0.010289565343364563,9.109823e-06,18.973469695389927
F->D->E->B,0.007123050700938503,6.113952e-06,16.10465839421293
F->D->E->C->B,0.00793807839189728,7.214018e-06,18.501687998087068
F->D->E->C->A->B,0.010298912599742603,9.045197e-06,15.27936942465563
F->E->A->C->B,0.008627668087711683,9.631241e-06,20.111463794447438
F->E->A->B,0.007781666134712491,7.210674e-06,13.39896488405776
F->E->B,0.00461515149228643,5.050562e-06,23.524327296204778
F->E->C->B,0.0054301791832452075,6.423223e-06,12.416084449586016
F->E->C->A->B,0.007791013391090531,1.390706e-05,20.00104163329641
F->A->C,0.005995160726030036,7.194050e-06,22.709649954176164
F->A->B->E->C,0.00984520583577843,1.200159e-05,21.362666043075276
F->A->B->C,0.009312292177679317,9.206459e-06,12.554356695320736
F->A->E->B->C,0.010681860532399582,1.272989e-05,19.621699711917657
F->A->E->C,0.007333754818709885,7.993934e-06,14.652786668289677
F->B->A->C,0.006189312960345528,5.906208e-06,16.066298993554366
F->B->A->E->C,0.007527907053025377,7.988591e-06,22.15568809766269
F->B->E->A->C,0.007558881315065793,8.502890e-06,21.009053529524692
F->B->E->C,0.004361392410599315,4.660769e-06,17.97048194272386
F->B->C,0.0038284787525002043,4.169446e-06,23.4944979033136
F->D->E->A->C,0.00905400059403952,8.500719e-06,20.047841498371227
F->D->E->A->B->C,0.0123711320456888,1.068170e-05,13.845867584704255
F->D->E->B->A->C,0.011565451611108064,1.009849e-05,14.699143771445284
F->D->E->B->C,0.009204617403262741,8.322276e-06,19.530539130448187
F->D->E->C,0.005856511689573043,5.457298e-06,18.247602039165027
F->E->A->C,0.006546101385387446,6.549429e-06,14.590517820360196
F->E->A->B->C,0.009863232837036728,1.137906e-05,20.161049723930976
F->E->B->A->C,0.00905755240245599,1.169786e-05,20.65048915810411
F->E->B->C,0.006696718194610667,6.601766e-06,13.946513158121611
F->E->C,0.00334861248092097,4.876781e-06,25.32589187780037
F->A->C->B->E->D,0.013450040994606541,1.624192e-05,8.352760437890378
F->A->C->E->D,0.010101935280916843,1.101950e-05,18.245942809248806
F->A->B->E->D,0.012604039041607349,1.293557e-05,18.425379172760724
F->A->B->C->E->D,0.013419066732566124,1.498123e-05,7.827988827163969
F->A->E->D,0.010092588024538805,9.536384e-06,11.27473391899021
F->B->A->C->E->D,0.010296087515232335,9.751978e-06,11.276638411486633
F->B->A->E->D,0.010286740258854295,9.221555e-06,18.920527590514812
F->B->E->D,0.007120225616428234,6.201538e-06,14.118242818190872
